time,density,radius
0,0,0
1.00E-12,5.1122E-17,1.77255E-07
1.10E-11,5.883E-16,1.77255E-07
1.11E-10,9.2606E-15,1.77255E-07
1.11E-09,1.1307E-12,1.77255E-07
1.11E-08,8.2049E-10,1.77255E-07
1.11E-07,7.9447E-07,1.77255E-07
1.11E-06,0.00079164,1.77255E-07
1.11E-05,0.78857,1.77255E-07
0.00011111,758.11,1.77255E-07
0.0011111,441550,1.77255E-07
0.011111,72564000,1.77255E-07
0.11111,4301300000,1.7726E-07
1.1111,3.0026E+11,1.7746E-07
2.1111,1.0371E+12,1.778E-07
3.1111,2.1379E+12,1.78225E-07
4.1111,3.4801E+12,1.78705E-07
5.1111,4.9211E+12,1.79235E-07
6.1111,6.3262E+12,1.79795E-07
7.1111,7.5891E+12,1.8039E-07
8.1111,8.6417E+12,1.81015E-07
9.1111,9.4543E+12,1.8166E-07
10.111,1.0029E+13,1.82325E-07
11.111,1.0388E+13,0.000000183
12.111,1.0566E+13,1.83685E-07
13.111,1.06E+13,1.84375E-07
14.111,1.0526E+13,1.85065E-07
15.111,1.0373E+13,1.85755E-07
16.111,1.0166E+13,1.8644E-07
17.111,9.9248E+12,1.8712E-07
18.111,9.6621E+12,1.8779E-07
19.111,9.3884E+12,1.88455E-07
20.111,9.1109E+12,1.8911E-07
21.111,8.8345E+12,1.89755E-07
22.111,8.5623E+12,1.90395E-07
23.111,8.2967E+12,1.91025E-07
24.111,8.0388E+12,1.91645E-07
25.111,7.7896E+12,1.9226E-07
26.111,7.5494E+12,1.9287E-07
27.111,7.3184E+12,1.93475E-07
28.111,7.0966E+12,1.9407E-07
29.111,6.8838E+12,1.9466E-07
30.111,6.6797E+12,1.9525E-07
31.111,6.4842E+12,1.9583E-07
32.111,6.2969E+12,1.9641E-07
33.111,6.1175E+12,1.9698E-07
34.111,5.9457E+12,1.9755E-07
35.111,5.781E+12,1.9812E-07
36.111,5.6233E+12,1.9868E-07
37.111,5.4721E+12,1.9924E-07
38.111,5.3272E+12,1.998E-07
39.111,5.1883E+12,2.0035E-07
40.111,5.055E+12,2.00905E-07
41.111,4.9271E+12,2.0145E-07
42.111,4.8044E+12,0.000000202
43.111,4.6865E+12,2.02545E-07
44.111,4.5733E+12,2.03085E-07
45.111,4.4645E+12,2.03625E-07
46.111,4.3599E+12,2.04165E-07
47.111,4.2594E+12,2.047E-07
48.111,4.1626E+12,2.0523E-07
49.111,4.0694E+12,2.05765E-07
50.111,3.9797E+12,2.06295E-07
51.111,3.8933E+12,2.06825E-07
52.111,3.81E+12,2.0735E-07
53.111,3.7297E+12,2.07875E-07
54.111,3.6523E+12,2.08395E-07
55.111,3.5776E+12,2.0892E-07
56.111,3.5054E+12,2.0944E-07
57.111,3.4358E+12,2.09955E-07
58.111,3.3685E+12,2.10475E-07
59.111,3.3035E+12,2.1099E-07
60.111,3.2407E+12,2.115E-07
61.111,3.1799E+12,2.12015E-07
62.111,3.1212E+12,2.12525E-07
63.111,3.0643E+12,2.1303E-07
64.111,3.0092E+12,2.1354E-07
65.111,2.9559E+12,2.14045E-07
66.111,2.9042E+12,2.1455E-07
67.111,2.8541E+12,2.1505E-07
68.111,2.8056E+12,2.1555E-07
69.111,2.7585E+12,2.1605E-07
70.111,2.7129E+12,2.1655E-07
71.111,2.6686E+12,2.17045E-07
72.111,2.6256E+12,2.1754E-07
73.111,2.5839E+12,2.1803E-07
74.111,2.5433E+12,2.18525E-07
75.111,2.5039E+12,2.1901E-07
76.111,2.4657E+12,2.195E-07
77.111,2.4285E+12,2.19985E-07
78.111,2.3923E+12,2.2047E-07
79.111,2.3571E+12,2.20955E-07
80.111,2.3229E+12,2.21435E-07
81.111,2.2896E+12,2.21915E-07
82.111,2.2572E+12,2.22395E-07
83.111,2.2256E+12,2.22875E-07
84.111,2.1949E+12,2.2335E-07
85.111,2.1649E+12,2.2382E-07
86.111,2.1358E+12,2.24295E-07
87.111,2.1073E+12,2.24765E-07
88.111,2.0796E+12,2.25235E-07
89.111,2.0526E+12,2.257E-07
90.111,2.0262E+12,2.26165E-07
91.111,2.0005E+12,2.2663E-07
92.111,1.9755E+12,2.2709E-07
93.111,1.951E+12,2.2755E-07
94.111,1.9271E+12,2.2801E-07
95.111,1.9037E+12,2.2847E-07
96.111,1.881E+12,2.28925E-07
97.111,1.8587E+12,2.29375E-07
98.111,1.837E+12,2.2983E-07
99.111,1.8157E+12,2.3028E-07
100.11,1.795E+12,2.3073E-07
101.11,1.7747E+12,2.31175E-07
102.11,1.7548E+12,2.3162E-07
103.11,1.7354E+12,2.32065E-07
104.11,1.7164E+12,2.32505E-07
105.11,1.6979E+12,2.32945E-07
106.11,1.6797E+12,2.33385E-07
107.11,1.6619E+12,2.33825E-07
108.11,1.6445E+12,2.3426E-07
109.11,1.6275E+12,2.3469E-07
110.11,1.6108E+12,2.35125E-07
111.11,1.5945E+12,2.35555E-07
112.11,1.5785E+12,2.3598E-07
113.11,1.5628E+12,2.3641E-07
114.11,1.5474E+12,2.36835E-07
115.11,1.5324E+12,2.37255E-07
116.11,1.5176E+12,2.3768E-07
117.11,1.5032E+12,2.381E-07
118.11,1.489E+12,2.38515E-07
119.11,1.4751E+12,2.38935E-07
120.11,1.4615E+12,2.3935E-07
121.11,1.4481E+12,2.3976E-07
122.11,1.435E+12,2.40175E-07
123.11,1.4221E+12,2.40585E-07
124.11,1.4095E+12,2.4099E-07
125.11,1.3971E+12,2.414E-07
126.11,1.3849E+12,2.418E-07
127.11,1.373E+12,2.42205E-07
128.11,1.3613E+12,2.42605E-07
129.11,1.3498E+12,2.43005E-07
130.11,1.3385E+12,2.43405E-07
131.11,1.3274E+12,2.438E-07
132.11,1.3164E+12,2.44195E-07
133.11,1.3057E+12,2.4459E-07
134.11,1.2952E+12,2.4498E-07
135.11,1.2849E+12,2.4537E-07
136.11,1.2747E+12,2.4576E-07
137.11,1.2647E+12,2.46145E-07
138.11,1.2549E+12,2.4653E-07
139.11,1.2452E+12,2.46915E-07
140.11,1.2357E+12,2.47295E-07
141.11,1.2264E+12,2.47675E-07
142.11,1.2172E+12,2.48055E-07
143.11,1.2081E+12,2.4843E-07
144.11,1.1993E+12,2.48805E-07
145.11,1.1905E+12,2.4918E-07
146.11,1.1819E+12,2.4955E-07
147.11,1.1734E+12,2.4992E-07
148.11,1.1651E+12,2.5029E-07
149.11,1.1569E+12,2.50655E-07
150.11,1.1488E+12,2.5102E-07
151.11,1.1409E+12,2.51385E-07
152.11,1.1331E+12,2.51745E-07
153.11,1.1254E+12,2.5211E-07
154.11,1.1178E+12,2.52465E-07
155.11,1.1103E+12,2.52825E-07
156.11,1.1029E+12,2.5318E-07
157.11,1.0957E+12,2.53535E-07
158.11,1.0885E+12,2.5389E-07
159.11,1.0815E+12,2.5424E-07
160.11,1.0746E+12,2.5459E-07
161.11,1.0678E+12,2.5494E-07
162.11,1.061E+12,2.55285E-07
163.11,1.0544E+12,2.5563E-07
164.11,1.0478E+12,2.55975E-07
165.11,1.0414E+12,2.56315E-07
166.11,1.035E+12,2.56655E-07
167.11,1.0288E+12,2.56995E-07
168.11,1.0226E+12,2.57335E-07
169.11,1.0165E+12,2.5767E-07
170.11,1.0105E+12,2.58005E-07
171.11,1.0046E+12,2.5834E-07
172.11,9.9875E+11,2.5867E-07
173.11,9.9299E+11,0.000000259
174.11,9.873E+11,2.5933E-07
175.11,9.8169E+11,2.59655E-07
176.11,9.7616E+11,2.5998E-07
177.11,9.707E+11,2.60305E-07
178.11,9.6531E+11,2.6063E-07
179.11,9.6E+11,2.6095E-07
180.11,9.5475E+11,2.6127E-07
181.11,9.4957E+11,2.6159E-07
182.11,9.4446E+11,2.6191E-07
183.11,9.3942E+11,2.62225E-07
184.11,9.3444E+11,2.6254E-07
185.11,9.2952E+11,2.62855E-07
186.11,9.2466E+11,2.63165E-07
187.11,9.1987E+11,2.63475E-07
188.11,9.1513E+11,2.63785E-07
189.11,9.1046E+11,2.64095E-07
190.11,9.0584E+11,2.644E-07
191.11,9.0128E+11,2.64705E-07
192.11,8.9678E+11,2.6501E-07
193.11,8.9233E+11,2.6531E-07
194.11,8.8793E+11,2.6561E-07
195.11,8.8359E+11,2.6591E-07
196.11,8.793E+11,2.6621E-07
197.11,8.7506E+11,2.6651E-07
198.11,8.7087E+11,2.66805E-07
199.11,8.6673E+11,2.671E-07
200.11,8.6264E+11,2.6739E-07
201.11,8.586E+11,2.67685E-07
202.11,8.546E+11,2.67975E-07
203.11,8.5065E+11,2.68265E-07
204.11,8.4674E+11,2.6855E-07
205.11,8.4288E+11,2.6884E-07
206.11,8.3907E+11,2.69125E-07
207.11,8.353E+11,2.6941E-07
208.11,8.3157E+11,2.69695E-07
209.11,8.2788E+11,2.69975E-07
210.11,8.2423E+11,2.70255E-07
211.11,8.2063E+11,2.70535E-07
212.11,8.1706E+11,2.70815E-07
213.11,8.1353E+11,2.7109E-07
214.11,8.1004E+11,2.71365E-07
215.11,8.0659E+11,2.7164E-07
216.11,8.0318E+11,2.71915E-07
217.11,7.998E+11,2.72185E-07
218.11,7.9646E+11,2.7246E-07
219.11,7.9316E+11,2.7273E-07
220.11,7.8989E+11,2.72995E-07
221.11,7.8666E+11,2.73265E-07
222.11,7.8346E+11,2.7353E-07
223.11,7.8029E+11,2.73795E-07
224.11,7.7716E+11,2.7406E-07
225.11,7.7405E+11,2.74325E-07
226.11,7.7099E+11,2.74585E-07
227.11,7.6795E+11,2.74845E-07
228.11,7.6494E+11,2.75105E-07
229.11,7.6197E+11,2.75365E-07
230.11,7.5902E+11,2.75625E-07
231.11,7.561E+11,2.7588E-07
232.11,7.5322E+11,2.76135E-07
233.11,7.5036E+11,2.7639E-07
234.11,7.4753E+11,2.7664E-07
235.11,7.4473E+11,2.76895E-07
236.11,7.4196E+11,2.77145E-07
237.11,7.3921E+11,2.77395E-07
238.11,7.3649E+11,2.77645E-07
239.11,7.338E+11,2.7789E-07
240.11,7.3113E+11,2.7814E-07
241.11,7.2849E+11,2.78385E-07
242.11,7.2588E+11,2.7863E-07
243.11,7.2329E+11,2.7887E-07
244.11,7.2072E+11,2.79115E-07
245.11,7.1818E+11,2.79355E-07
246.11,7.1566E+11,2.79595E-07
247.11,7.1317E+11,2.79835E-07
248.11,7.107E+11,2.80075E-07
249.11,7.0825E+11,2.80315E-07
250.11,7.0583E+11,2.8055E-07
251.11,7.0342E+11,2.80785E-07
252.11,7.0104E+11,2.8102E-07
253.11,6.9869E+11,2.81255E-07
254.11,6.9635E+11,2.81485E-07
255.11,6.9403E+11,2.81715E-07
256.11,6.9174E+11,2.8195E-07
257.11,6.8947E+11,2.82175E-07
258.11,6.8721E+11,2.82405E-07
259.11,6.8498E+11,2.82635E-07
260.11,6.8277E+11,2.8286E-07
261.11,6.8057E+11,2.83085E-07
262.11,6.784E+11,2.8331E-07
263.11,6.7624E+11,2.83535E-07
264.11,6.7411E+11,2.8376E-07
265.11,6.7199E+11,2.8398E-07
266.11,6.6989E+11,2.84205E-07
267.11,6.6781E+11,2.84425E-07
268.11,6.6575E+11,2.84645E-07
269.11,6.637E+11,2.8486E-07
270.11,6.6167E+11,2.8508E-07
271.11,6.5966E+11,2.85295E-07
272.11,6.5767E+11,2.8551E-07
273.11,6.5569E+11,2.85725E-07
274.11,6.5373E+11,2.8594E-07
275.11,6.5179E+11,2.86155E-07
276.11,6.4986E+11,2.86365E-07
277.11,6.4795E+11,2.8658E-07
278.11,6.4605E+11,2.8679E-07
279.11,6.4417E+11,0.000000287
280.11,6.4231E+11,2.8721E-07
281.11,6.4046E+11,2.87415E-07
282.11,6.3862E+11,2.87625E-07
283.11,6.368E+11,2.8783E-07
284.11,6.35E+11,2.88035E-07
285.11,6.3321E+11,2.8824E-07
286.11,6.3143E+11,2.88445E-07
287.11,6.2967E+11,2.8865E-07
288.11,6.2792E+11,2.8885E-07
289.11,6.2619E+11,2.8905E-07
290.11,6.2447E+11,2.89255E-07
291.11,6.2276E+11,2.89455E-07
292.11,6.2107E+11,2.8965E-07
293.11,6.1939E+11,2.8985E-07
294.11,6.1772E+11,2.9005E-07
295.11,6.1606E+11,2.90245E-07
296.11,6.1442E+11,2.9044E-07
297.11,6.1279E+11,2.90635E-07
298.11,6.1118E+11,2.9083E-07
299.11,6.0957E+11,2.91025E-07
300.11,6.0798E+11,2.9122E-07
301.11,6.064E+11,2.9141E-07
302.11,6.0483E+11,2.916E-07
303.11,6.0328E+11,2.91795E-07
304.11,6.0173E+11,2.91985E-07
305.11,6.002E+11,2.9217E-07
306.11,5.9868E+11,2.9236E-07
307.11,5.9717E+11,2.9255E-07
308.11,5.9567E+11,2.92735E-07
309.11,5.9418E+11,2.9292E-07
310.11,5.9271E+11,2.9311E-07
311.11,5.9124E+11,2.93295E-07
312.11,5.8978E+11,2.93475E-07
313.11,5.8834E+11,2.9366E-07
314.11,5.869E+11,2.93845E-07
315.11,5.8548E+11,2.94025E-07
316.11,5.8407E+11,2.94205E-07
317.11,5.8266E+11,2.9439E-07
318.11,5.8127E+11,2.9457E-07
319.11,5.7989E+11,2.94745E-07
320.11,5.7851E+11,2.94925E-07
321.11,5.7715E+11,2.95105E-07
322.11,5.7579E+11,2.9528E-07
323.11,5.7445E+11,2.9546E-07
324.11,5.7311E+11,2.95635E-07
325.11,5.7178E+11,2.9581E-07
326.11,5.7047E+11,2.95985E-07
327.11,5.6916E+11,2.9616E-07
328.11,5.6786E+11,2.9633E-07
329.11,5.6657E+11,2.96505E-07
330.11,5.6529E+11,2.96675E-07
