time,density,radius
0,0,0
1.00E-12,5.83E-22,1.57E-46
1.10E-11,6.41E-20,1.73E-44
1.11E-10,6.48E-18,1.74E-42
1.11E-09,3.31E-16,8.90E-41
1.11E-08,3.53E-14,9.51E-39
1.11E-07,6.0851E-12,1.65E-36
1.11E-06,3.2008E-09,8.72E-34
1.11E-05,3.0025E-06,8.17E-31
0.00011111,0.0030678,8.33E-28
0.0011111,3.1019,8.40E-25
0.011111,2633.4,2.70E-07
0.11111,759850,2.69E-07
1.1111,44830000,2.69E-07
2.1111,64433000,2.70E-07
3.1111,78324000,2.70E-07
4.1111,92995000,2.70E-07
5.1111,106540000,2.70E-07
6.1111,119400000,2.70E-07
7.1111,131550000,2.70E-07
8.1111,142990000,2.70E-07
9.1111,153780000,2.70E-07
10.111,163990000,2.70E-07
11.111,173550000,2.70E-07
12.111,182540000,2.70E-07
13.111,190880000,2.70E-07
14.111,198630000,2.70E-07
15.111,205840000,2.70E-07
16.111,212490000,2.70E-07
17.111,218630000,2.70E-07
18.111,224260000,2.70E-07
19.111,229430000,2.70E-07
20.111,234130000,2.70E-07
21.111,238370000,2.70E-07
22.111,242180000,2.70E-07
23.111,245600000,2.70E-07
24.111,248670000,2.70E-07
25.111,251410000,2.70E-07
26.111,253810000,2.70E-07
27.111,255920000,2.70E-07
28.111,257750000,2.70E-07
29.111,259330000,2.70E-07
30.111,260680000,2.70E-07
31.111,261820000,2.70E-07
32.111,262780000,2.70E-07
33.111,263560000,2.70E-07
34.111,264180000,2.70E-07
35.111,264670000,2.70E-07
36.111,265020000,2.70E-07
37.111,265260000,2.70E-07
38.111,265400000,2.70E-07
39.111,265450000,2.70E-07
40.111,265420000,2.70E-07
41.111,265310000,2.70E-07
42.111,265140000,2.70E-07
43.111,264910000,2.70E-07
44.111,264630000,2.70E-07
45.111,264300000,2.70E-07
46.111,263930000,2.70E-07
47.111,263520000,2.70E-07
48.111,263080000,2.70E-07
49.111,262620000,2.70E-07
50.111,262130000,2.70E-07
51.111,261620000,2.70E-07
52.111,261090000,2.70E-07
53.111,260540000,2.70E-07
54.111,259980000,2.70E-07
55.111,259410000,2.70E-07
56.111,258830000,2.70E-07
57.111,258230000,2.70E-07
58.111,257630000,2.70E-07
59.111,257020000,2.70E-07
60.111,256410000,2.70E-07
61.111,255790000,2.70E-07
62.111,255170000,2.70E-07
63.111,254540000,2.70E-07
64.111,253910000,2.70E-07
65.111,253270000,2.70E-07
66.111,252630000,2.70E-07
67.111,252000000,2.70E-07
68.111,251360000,2.70E-07
69.111,250710000,2.70E-07
70.111,250070000,2.70E-07
71.111,249430000,2.70E-07
72.111,248790000,2.70E-07
73.111,248150000,2.70E-07
74.111,247510000,2.70E-07
75.111,246860000,2.70E-07
76.111,246220000,2.70E-07
77.111,245580000,2.70E-07
78.111,244940000,2.70E-07
79.111,244300000,2.70E-07
80.111,243660000,2.70E-07
81.111,243020000,2.70E-07
82.111,242380000,2.70E-07
83.111,241740000,2.70E-07
84.111,241110000,2.70E-07
85.111,240480000,2.70E-07
86.111,239850000,2.70E-07
87.111,239210000,2.70E-07
88.111,238580000,2.70E-07
89.111,237950000,2.70E-07
90.111,237330000,2.70E-07
91.111,236700000,2.70E-07
92.111,236080000,2.70E-07
93.111,235460000,2.70E-07
94.111,234840000,2.70E-07
95.111,234220000,2.70E-07
96.111,233610000,2.70E-07
97.111,233000000,2.70E-07
98.111,232380000,2.70E-07
99.111,231770000,2.70E-07
100.11,231160000,2.70E-07
101.11,230560000,2.70E-07
102.11,229950000,2.70E-07
103.11,229350000,2.70E-07
104.11,228750000,2.70E-07
105.11,228150000,2.70E-07
106.11,227560000,2.70E-07
