time,density,radius
0,0,0
1E-12,1.8375E-14,1.77255E-07
1.1E-11,2.1146E-13,1.77255E-07
1.11E-10,3.3285E-12,1.77255E-07
1.111E-09,4.0634E-10,1.77255E-07
1.1111E-08,2.9427E-07,1.77255E-07
1.1111E-07,0.00027939,1.77255E-07
1.1111E-06,0.23234,1.77255E-07
0.000011111,82.799,1.77255E-07
0.00011111,10798,1.77255E-07
0.0011111,898250,1.77255E-07
0.011111,63357000,1.7726E-07
0.11111,3629500000,1.77275E-07
0.97885,34887000000,1.7731E-07
1.9789,20766000000,1.77295E-07
2.9789,14501000000,1.7729E-07
3.9789,10713000000,1.77285E-07
4.9789,8294400000,1.7728E-07
5.9789,6644400000,1.7728E-07
6.9789,5465200000,1.7728E-07
7.9789,4590900000,1.77275E-07
8.9789,3923000000,1.77275E-07
9.9789,3400000000,1.77275E-07
10.979,2982000000,1.77275E-07
11.979,2642100000,1.7727E-07
12.979,2361400000,1.7727E-07
13.979,2126600000,1.7727E-07
14.979,1928000000,1.7727E-07
15.979,1758200000,1.7727E-07
16.979,1611800000,1.7727E-07
17.979,1484500000,1.7727E-07
18.979,1373100000,1.7727E-07
19.979,1274900000,1.7727E-07
20.979,1187800000,1.7727E-07
21.979,1110200000,1.7727E-07
22.979,1040700000,1.77265E-07
23.979,978120000,1.77265E-07
24.979,921600000,1.77265E-07
25.979,870330000,1.77265E-07
26.979,823660000,1.77265E-07
27.979,781030000,1.77265E-07
28.979,741970000,1.77265E-07
29.979,706080000,1.77265E-07
30.979,673010000,1.77265E-07
31.979,642450000,1.77265E-07
32.979,614160000,1.77265E-07
33.979,587910000,1.77265E-07
34.979,563490000,1.77265E-07
35.979,540730000,1.77265E-07
36.979,519480000,1.77265E-07
37.979,499600000,1.77265E-07
38.979,480970000,1.77265E-07
39.979,463490000,1.77265E-07
40.979,447060000,1.77265E-07
41.979,431580000,1.77265E-07
42.979,417000000,1.77265E-07
43.979,403230000,1.77265E-07
44.979,390210000,1.77265E-07
45.979,377890000,1.77265E-07
46.979,366220000,1.77265E-07
47.979,355150000,1.77265E-07
48.979,344630000,1.77265E-07
49.979,334630000,1.77265E-07
50.979,325120000,1.77265E-07
51.979,316060000,1.77265E-07
52.979,307420000,1.77265E-07
53.979,299180000,1.77265E-07
54.979,291310000,1.77265E-07
55.979,283780000,1.77265E-07
56.979,276580000,1.77265E-07
57.979,269690000,1.77265E-07
58.979,263090000,1.77265E-07
59.979,256750000,1.77265E-07
60.979,250680000,1.77265E-07
61.979,244850000,1.77265E-07
62.979,239240000,1.77265E-07
63.979,233860000,1.77265E-07
64.979,228680000,1.77265E-07
65.979,223690000,1.77265E-07
66.979,218890000,1.77265E-07
67.979,214260000,1.77265E-07
68.979,209800000,1.77265E-07
69.979,205490000,1.77265E-07
70.979,201340000,1.77265E-07
71.979,197330000,1.77265E-07
72.979,193450000,1.77265E-07
73.979,189710000,1.77265E-07
74.979,186080000,1.77265E-07
75.979,182580000,1.77265E-07
76.979,179190000,1.77265E-07
77.979,175900000,1.77265E-07
78.979,172720000,1.77265E-07
79.979,169640000,1.77265E-07
80.979,166650000,1.77265E-07
81.979,163750000,1.77265E-07
82.979,160940000,1.77265E-07
83.979,158210000,1.77265E-07
84.979,155560000,1.77265E-07
85.979,152990000,1.77265E-07
86.979,150490000,1.77265E-07
87.979,148060000,1.77265E-07
88.979,145700000,1.77265E-07
89.979,143400000,1.77265E-07
90.979,141170000,1.77265E-07
91.979,138990000,1.77265E-07
92.979,136870000,1.77265E-07
93.979,134810000,1.77265E-07
94.979,132810000,1.77265E-07
95.979,130850000,1.77265E-07
96.979,128940000,1.77265E-07
97.979,127090000,1.77265E-07
98.979,125280000,1.77265E-07
99.979,123510000,1.77265E-07
100.98,121790000,1.77265E-07
101.98,120100000,1.77265E-07
102.98,118460000,1.77265E-07
103.98,116860000,1.77265E-07
104.98,115300000,1.77265E-07
105.98,113770000,1.77265E-07
106.98,112280000,1.77265E-07
107.98,110820000,1.77265E-07
108.98,109390000,1.77265E-07
109.98,108000000,1.77265E-07
110.98,106640000,1.77265E-07
111.98,105300000,1.77265E-07
112.98,104000000,1.77265E-07
113.98,102730000,1.77265E-07
114.98,101480000,1.77265E-07
115.98,100260000,1.77265E-07
116.98,99062000,1.77265E-07
117.98,97892000,1.77265E-07
118.98,96746000,1.77265E-07
119.98,95623000,1.77265E-07
120.98,94524000,1.77265E-07
121.98,93446000,1.77265E-07
122.98,92391000,1.77265E-07
123.98,91356000,1.77265E-07
124.98,90342000,1.77265E-07
125.98,89348000,1.77265E-07
126.98,88372000,1.77265E-07
127.98,87416000,1.77265E-07
128.98,86478000,1.77265E-07
129.98,85558000,1.77265E-07
130.98,84655000,1.77265E-07
131.98,83769000,1.77265E-07
132.98,82900000,1.77265E-07
133.98,82046000,1.77265E-07
134.98,81208000,1.77265E-07
135.98,80385000,1.77265E-07
136.98,79577000,1.77265E-07
137.98,78784000,1.77265E-07
138.98,78004000,1.77265E-07
139.98,77238000,1.77265E-07
140.98,76486000,1.77265E-07
141.98,75747000,1.77265E-07
142.98,75020000,1.77265E-07
143.98,74306000,1.77265E-07
144.98,73604000,1.77265E-07
145.98,72913000,1.77265E-07
146.98,72235000,1.77265E-07
147.98,71567000,1.77265E-07
148.98,70911000,1.7727E-07
149.98,70265000,1.7727E-07
150.98,69630000,1.7727E-07
151.98,69006000,1.7727E-07
152.98,68391000,1.7727E-07
153.98,67786000,1.7727E-07
154.98,67191000,1.7727E-07
155.98,66605000,1.7727E-07
156.98,66028000,1.7727E-07
157.98,65460000,1.7727E-07
158.98,64901000,1.7727E-07
159.98,64351000,1.7727E-07
160.98,63809000,1.7727E-07
161.98,63275000,1.7727E-07
162.98,62749000,1.7727E-07
163.98,62231000,1.7727E-07
164.98,61721000,1.7727E-07
165.98,61219000,1.7727E-07
166.98,60724000,1.7727E-07
167.98,60236000,1.7727E-07
168.98,59755000,1.7727E-07
169.98,59281000,1.7727E-07
170.98,58814000,1.7727E-07
171.98,58353000,1.7727E-07
172.98,57899000,1.7727E-07
173.98,57452000,1.7727E-07
174.98,57011000,1.7727E-07
175.98,56576000,1.7727E-07
176.98,56146000,1.7727E-07
177.98,55723000,1.7727E-07
178.98,55306000,1.7727E-07
179.98,54894000,1.7727E-07
180.98,54488000,1.7727E-07
181.98,54088000,1.7727E-07
182.98,53693000,1.7727E-07
183.98,53303000,1.7727E-07
184.98,52918000,1.7727E-07
185.98,52538000,1.7727E-07
186.98,52163000,1.7727E-07
187.98,51794000,1.7727E-07
188.98,51428000,1.7727E-07
189.98,51068000,1.7727E-07
190.98,50712000,1.7727E-07
191.98,50361000,1.7727E-07
192.98,50015000,1.7727E-07
193.98,49672000,1.7727E-07
194.98,49334000,1.7727E-07
195.98,49000000,1.7727E-07
196.98,48671000,1.7727E-07
197.98,48345000,1.7727E-07
198.98,48023000,1.7727E-07
199.98,47706000,1.7727E-07
200.98,47392000,1.7727E-07
201.98,47082000,1.7727E-07
202.98,46776000,1.7727E-07
203.98,46473000,1.7727E-07
204.98,46174000,1.7727E-07
205.98,45879000,1.7727E-07
