time,density,radius
0,0,0
1.00E-12,1.78E-20,4.80E-45
1.10E-11,1.97E-18,5.31E-43
1.11E-10,2.11E-16,5.68E-41
1.11E-09,3.28E-14,8.88E-39
1.11E-08,9.67E-12,2.63E-36
1.11E-07,8.77E-09,2.39E-33
1.11E-06,8.7149E-06,2.38E-30
1.11E-05,0.0089451,2.44E-27
0.00011111,9.1906,2.50E-24
0.0011111,7746.9,2.72E-07
0.011111,2317400,2.71E-07
0.11111,243700000,2.71E-07
1.1111,64717000000,2.71E-07
2.1111,2.5953E+11,2.72E-07
3.1111,5.6296E+11,2.74E-07
4.1111,9.3791E+11,2.77E-07
5.1111,1.3468E+12,2.79E-07
6.1111,1.7617E+12,2.82E-07
7.1111,2.165E+12,2.85E-07
8.1111,2.5467E+12,2.88E-07
9.1111,2.9037E+12,2.91E-07
10.111,3.2364E+12,2.94E-07
11.111,3.5458E+12,2.96E-07
12.111,3.8337E+12,2.99E-07
13.111,4.1011E+12,3.01E-07
14.111,4.3496E+12,3.03E-07
15.111,4.5805E+12,3.05E-07
16.111,4.7951E+12,3.08E-07
17.111,4.9948E+12,3.10E-07
18.111,5.1804E+12,3.12E-07
19.111,5.3531E+12,3.14E-07
20.111,5.5137E+12,3.15E-07
21.111,5.663E+12,3.17E-07
22.111,5.8019E+12,3.19E-07
23.111,5.9309E+12,3.21E-07
24.111,6.0508E+12,3.22E-07
25.111,6.1622E+12,3.24E-07
26.111,6.2656E+12,3.26E-07
27.111,6.3616E+12,3.27E-07
28.111,6.4507E+12,3.29E-07
29.111,6.5333E+12,3.31E-07
30.111,6.6097E+12,3.32E-07
31.111,6.6805E+12,3.34E-07
32.111,6.746E+12,3.35E-07
33.111,6.8065E+12,3.37E-07
34.111,6.8624E+12,3.38E-07
35.111,6.914E+12,3.39E-07
36.111,6.9615E+12,3.41E-07
37.111,7.0053E+12,3.42E-07
38.111,7.0455E+12,3.44E-07
39.111,7.0824E+12,3.45E-07
40.111,7.1162E+12,3.46E-07
41.111,7.1471E+12,3.48E-07
42.111,7.1754E+12,3.49E-07
43.111,7.2011E+12,3.50E-07
44.111,7.2245E+12,3.52E-07
45.111,7.2457E+12,3.53E-07
46.111,7.2649E+12,3.54E-07
47.111,7.2822E+12,3.55E-07
48.111,7.2977E+12,3.57E-07
