time,density,radius
0,0,0
1.00E-12,3.0772E-16,1.77255E-07
1.10E-11,3.4002E-15,1.77255E-07
1.11E-10,3.5894E-14,1.77255E-07
1.11E-09,5.6038E-13,1.77255E-07
1.11E-08,6.8346E-11,1.77255E-07
1.11E-07,4.9576E-08,1.77255E-07
1.11E-06,0.000047888,1.77255E-07
1.11E-05,0.046592,1.77255E-07
0.00011111,37.395,1.77255E-07
0.0011111,11210,1.77255E-07
0.011111,932130,1.77255E-07
0.11111,62669000,1.77255E-07
1.1111,3690900000,1.7729E-07
2.1111,12238000000,1.7733E-07
3.1111,25132000000,1.77365E-07
4.1111,41468000000,1.77405E-07
5.1111,60116000000,1.77445E-07
6.1111,79874000000,1.7748E-07
7.1111,99598000000,1.77515E-07
8.1111,1.1831E+11,1.7755E-07
9.1111,1.3526E+11,1.77585E-07
10.111,1.4995E+11,1.77615E-07
11.111,1.6212E+11,1.77645E-07
12.111,1.7172E+11,1.7767E-07
13.111,1.7885E+11,1.77695E-07
14.111,1.8372E+11,1.77715E-07
15.111,1.8661E+11,1.7774E-07
16.111,1.8782E+11,1.77755E-07
17.111,1.8765E+11,1.77775E-07
18.111,1.8637E+11,1.7779E-07
19.111,1.8424E+11,1.77805E-07
20.111,1.8146E+11,1.77815E-07
21.111,1.7821E+11,1.7783E-07
22.111,1.7463E+11,1.7784E-07
23.111,1.7084E+11,1.7785E-07
24.111,1.6693E+11,1.7786E-07
25.111,1.6296E+11,1.7787E-07
26.111,1.5898E+11,1.7788E-07
27.111,1.5504E+11,1.7789E-07
28.111,1.5115E+11,1.77895E-07
29.111,1.4734E+11,1.77905E-07
30.111,1.4362E+11,1.77915E-07
31.111,1.4E+11,1.7792E-07
32.111,1.3648E+11,1.7793E-07
33.111,1.3306E+11,1.77935E-07
34.111,1.2975E+11,1.77945E-07
35.111,1.2655E+11,1.7795E-07
36.111,1.2345E+11,1.77955E-07
37.111,1.2045E+11,1.77965E-07
38.111,1.1755E+11,1.7797E-07
39.111,1.1475E+11,1.7798E-07
40.111,1.1204E+11,1.77985E-07
41.111,1.0942E+11,1.7799E-07
42.111,1.0688E+11,0.000000178
43.111,1.0443E+11,1.78005E-07
44.111,1.0206E+11,1.7801E-07
45.111,99766000000,1.7802E-07
46.111,97546000000,1.78025E-07
47.111,95398000000,1.78035E-07
48.111,93317000000,1.7804E-07
49.111,91303000000,1.78045E-07
50.111,89352000000,1.78055E-07
51.111,87462000000,1.7806E-07
52.111,85631000000,1.78065E-07
53.111,83855000000,1.78075E-07
54.111,82132000000,1.7808E-07
55.111,80462000000,1.7809E-07
56.111,78843000000,1.78095E-07
57.111,77272000000,1.78105E-07
58.111,75747000000,1.7811E-07
59.111,74266000000,1.7812E-07
60.111,72829000000,1.78125E-07
61.111,71433000000,1.78135E-07
62.111,70076000000,1.7814E-07
63.111,68758000000,1.7815E-07
64.111,67476000000,1.78155E-07
65.111,66231000000,1.78165E-07
66.111,65019000000,1.7817E-07
67.111,63841000000,1.7818E-07
68.111,62694000000,1.78185E-07
69.111,61579000000,1.78195E-07
70.111,60493000000,1.78205E-07
71.111,59436000000,1.7821E-07
72.111,58406000000,1.7822E-07
73.111,57403000000,1.7823E-07
74.111,56426000000,1.78235E-07
75.111,55474000000,1.78245E-07
76.111,54546000000,1.78255E-07
77.111,53642000000,1.7826E-07
78.111,52760000000,1.7827E-07
79.111,51900000000,1.7828E-07
80.111,51061000000,1.78285E-07
81.111,50242000000,1.78295E-07
82.111,49444000000,1.78305E-07
83.111,48664000000,1.78315E-07
84.111,47903000000,1.78325E-07
85.111,47161000000,1.7833E-07
86.111,46435000000,1.7834E-07
87.111,45726000000,1.7835E-07
88.111,45034000000,1.7836E-07
89.111,44358000000,1.7837E-07
90.111,43697000000,1.7838E-07
91.111,43051000000,1.7839E-07
92.111,42420000000,1.78395E-07
93.111,41802000000,1.78405E-07
94.111,41199000000,1.78415E-07
95.111,40608000000,1.78425E-07
96.111,40030000000,1.78435E-07
97.111,39465000000,1.78445E-07
98.111,38912000000,1.78455E-07
99.111,38371000000,1.78465E-07
100.11,37842000000,1.78475E-07
101.11,37323000000,1.78485E-07
102.11,36815000000,1.78495E-07
103.11,36318000000,1.78505E-07
104.11,35831000000,1.78515E-07
105.11,35354000000,1.78525E-07
106.11,34887000000,1.7854E-07
107.11,34429000000,1.7855E-07
108.11,33981000000,1.7856E-07
109.11,33541000000,1.7857E-07
110.11,33110000000,1.7858E-07
111.11,32688000000,1.7859E-07
112.11,32274000000,1.786E-07
113.11,31867000000,1.7861E-07
114.11,31469000000,1.78625E-07
115.11,31078000000,1.78635E-07
116.11,30695000000,1.78645E-07
117.11,30319000000,1.78655E-07
118.11,29950000000,1.78665E-07
119.11,29588000000,1.7868E-07
120.11,29233000000,1.7869E-07
121.11,28884000000,1.787E-07
122.11,28542000000,1.7871E-07
123.11,28206000000,1.78725E-07
124.11,27876000000,1.78735E-07
125.11,27552000000,1.78745E-07
126.11,27233000000,1.7876E-07
127.11,26921000000,1.7877E-07
128.11,26614000000,1.7878E-07
129.11,26312000000,1.78795E-07
130.11,26015000000,1.78805E-07
131.11,25724000000,1.78815E-07
132.11,25438000000,1.7883E-07
133.11,25157000000,1.7884E-07
134.11,24880000000,1.78855E-07
135.11,24608000000,1.78865E-07
136.11,24341000000,1.78875E-07
137.11,24078000000,1.7889E-07
138.11,23820000000,1.789E-07
139.11,23566000000,1.78915E-07
140.11,23316000000,1.78925E-07
141.11,23070000000,1.7894E-07
142.11,22828000000,1.7895E-07
143.11,22590000000,1.78965E-07
144.11,22356000000,1.78975E-07
145.11,22126000000,1.7899E-07
146.11,21900000000,0.000000179
147.11,21677000000,1.79015E-07
148.11,21457000000,1.79025E-07
149.11,21241000000,1.7904E-07
150.11,21028000000,1.7905E-07
151.11,20819000000,1.79065E-07
152.11,20613000000,1.79075E-07
153.11,20410000000,1.7909E-07
154.11,20210000000,1.79105E-07
155.11,20013000000,1.79115E-07
156.11,19819000000,1.7913E-07
157.11,19628000000,1.79145E-07
158.11,19440000000,1.79155E-07
159.11,19255000000,1.7917E-07
160.11,19072000000,1.7918E-07
161.11,18892000000,1.79195E-07
162.11,18715000000,1.7921E-07
163.11,18541000000,1.7922E-07
164.11,18368000000,1.79235E-07
165.11,18199000000,1.7925E-07
166.11,18032000000,1.79265E-07
167.11,17867000000,1.79275E-07
168.11,17704000000,1.7929E-07
169.11,17544000000,1.79305E-07
170.11,17386000000,1.79315E-07
171.11,17231000000,1.7933E-07
172.11,17077000000,1.79345E-07
173.11,16926000000,1.7936E-07
174.11,16777000000,1.79375E-07
175.11,16629000000,1.79385E-07
176.11,16484000000,1.794E-07
177.11,16341000000,1.79415E-07
178.11,16199000000,1.7943E-07
179.11,16060000000,1.79445E-07
180.11,15923000000,1.79455E-07
181.11,15787000000,1.7947E-07
182.11,15653000000,1.79485E-07
