time,density,radius
0,0,0
1.00E-12,5.83E-20,1.57E-44
1.10E-11,6.45E-18,1.74E-42
1.11E-10,6.90E-16,1.86E-40
1.11E-09,6.11E-14,1.66E-38
1.11E-08,3.16E-11,8.61E-36
1.11E-07,2.87E-08,7.84E-33
1.11E-06,0.000028803,7.85E-30
1.11E-05,0.029703,8.08E-27
0.00011111,30.498,8.28E-24
0.0011111,23899,2.71E-07
0.011111,7323800,2.70E-07
0.11111,553750000,2.70E-07
1.1111,45428000000,2.71E-07
2.1111,1.1413E+11,2.74E-07
3.1111,1.7604E+11,2.78E-07
4.1111,2.2168E+11,2.82E-07
5.1111,2.5128E+11,2.85E-07
6.1111,2.7051E+11,2.89E-07
7.1111,2.8291E+11,2.92E-07
8.1111,2.9034E+11,2.95E-07
9.1111,2.9434E+11,2.99E-07
10.111,2.9589E+11,3.02E-07
11.111,2.9567E+11,3.05E-07
12.111,2.9416E+11,3.08E-07
13.111,2.9179E+11,3.10E-07
14.111,2.8872E+11,3.13E-07
15.111,2.8518E+11,3.16E-07
16.111,2.8133E+11,3.19E-07
17.111,2.773E+11,3.22E-07
18.111,2.7317E+11,3.25E-07
19.111,2.6902E+11,3.28E-07
20.111,2.6489E+11,3.30E-07
21.111,2.6082E+11,3.33E-07
22.111,2.5685E+11,3.36E-07
23.111,2.5298E+11,3.39E-07
24.111,2.4925E+11,3.41E-07
25.111,2.4564E+11,3.44E-07
26.111,2.4217E+11,3.47E-07
27.111,2.3885E+11,3.49E-07
28.111,2.3566E+11,3.52E-07
29.111,2.3261E+11,3.54E-07
30.111,2.297E+11,3.57E-07
31.111,2.2692E+11,3.59E-07
32.111,2.2427E+11,3.62E-07
33.111,2.2174E+11,3.64E-07
34.111,2.1933E+11,3.66E-07
35.111,2.1702E+11,3.69E-07
36.111,2.1483E+11,3.71E-07
37.111,2.1273E+11,3.73E-07
38.111,2.1073E+11,3.75E-07
39.111,2.0883E+11,3.77E-07
40.111,2.07E+11,3.79E-07
41.111,2.0527E+11,3.81E-07
42.111,2.036E+11,3.83E-07
43.111,2.0201E+11,3.85E-07
44.111,2.0049E+11,3.87E-07
45.111,1.9904E+11,3.89E-07
46.111,1.9764E+11,3.90E-07
47.111,1.9631E+11,3.92E-07
48.111,1.9503E+11,3.94E-07
49.111,1.938E+11,3.95E-07
50.111,1.9262E+11,3.97E-07
51.111,1.9149E+11,3.98E-07
52.111,1.904E+11,4.00E-07
53.111,1.8935E+11,4.01E-07
54.111,1.8835E+11,4.03E-07
55.111,1.8738E+11,4.04E-07
56.111,1.8644E+11,4.06E-07
57.111,1.8554E+11,4.07E-07
58.111,1.8467E+11,4.08E-07
59.111,1.8383E+11,4.10E-07
60.111,1.8302E+11,4.11E-07
61.111,1.8224E+11,4.12E-07
62.111,1.8148E+11,4.13E-07
63.111,1.8075E+11,4.14E-07
64.111,1.8004E+11,4.16E-07
65.111,1.7936E+11,4.17E-07
66.111,1.7869E+11,4.18E-07
67.111,1.7804E+11,4.19E-07
68.111,1.7742E+11,4.20E-07
69.111,1.7681E+11,4.21E-07
70.111,1.7622E+11,4.22E-07
71.111,1.7564E+11,4.23E-07
72.111,1.7509E+11,4.24E-07
73.111,1.7454E+11,4.25E-07
74.111,1.7402E+11,4.25E-07
75.111,1.735E+11,4.26E-07
76.111,1.73E+11,4.27E-07
77.111,1.7251E+11,4.28E-07
78.111,1.7204E+11,4.29E-07
79.111,1.7157E+11,4.30E-07
80.111,1.7112E+11,4.30E-07
81.111,1.7068E+11,4.31E-07
82.111,1.7025E+11,4.32E-07
83.111,1.6983E+11,4.33E-07
84.111,1.6941E+11,4.33E-07
85.111,1.6901E+11,4.34E-07
86.111,1.6862E+11,4.35E-07
87.111,1.6823E+11,4.36E-07
88.111,1.6786E+11,4.36E-07
89.111,1.6749E+11,4.37E-07
90.111,1.6712E+11,4.37E-07
91.111,1.6677E+11,4.38E-07
92.111,1.6642E+11,4.39E-07
93.111,1.6608E+11,4.39E-07
94.111,1.6575E+11,4.40E-07
95.111,1.6542E+11,4.41E-07
96.111,1.651E+11,4.41E-07
97.111,1.6479E+11,4.42E-07
98.111,1.6448E+11,4.42E-07
99.111,1.6418E+11,4.43E-07
100.11,1.6388E+11,4.43E-07
101.11,1.6359E+11,4.44E-07
102.11,1.633E+11,4.44E-07
103.11,1.6302E+11,4.45E-07
104.11,1.6274E+11,4.45E-07
105.11,1.6247E+11,4.46E-07
106.11,1.622E+11,4.46E-07
107.11,1.6193E+11,4.47E-07
108.11,1.6167E+11,4.47E-07
109.11,1.6142E+11,4.48E-07
110.11,1.6117E+11,4.48E-07
111.11,1.6092E+11,4.49E-07
112.11,1.6068E+11,4.49E-07
113.11,1.6044E+11,4.50E-07
114.11,1.602E+11,4.50E-07
115.11,1.5997E+11,4.50E-07
116.11,1.5974E+11,4.51E-07
117.11,1.5951E+11,4.51E-07
118.11,1.5929E+11,4.52E-07
119.11,1.5907E+11,4.52E-07
120.11,1.5885E+11,4.52E-07
121.11,1.5864E+11,4.53E-07
122.11,1.5843E+11,4.53E-07
123.11,1.5822E+11,4.53E-07
124.11,1.5802E+11,4.54E-07
125.11,1.5782E+11,4.54E-07
126.11,1.5762E+11,4.55E-07
127.11,1.5742E+11,4.55E-07
128.11,1.5723E+11,4.55E-07
129.11,1.5704E+11,4.56E-07
130.11,1.5685E+11,4.56E-07
131.11,1.5666E+11,4.56E-07
132.11,1.5648E+11,4.57E-07
133.11,1.5629E+11,4.57E-07
134.11,1.5612E+11,4.57E-07
135.11,1.5594E+11,4.58E-07
136.11,1.5576E+11,4.58E-07
137.11,1.5559E+11,4.58E-07
138.11,1.5542E+11,4.59E-07
139.11,1.5525E+11,4.59E-07
140.11,1.5508E+11,4.59E-07
141.11,1.5492E+11,4.59E-07
142.11,1.5476E+11,4.60E-07
143.11,1.5459E+11,4.60E-07
144.11,1.5443E+11,4.60E-07
145.11,1.5428E+11,4.61E-07
146.11,1.5412E+11,4.61E-07
147.11,1.5397E+11,4.61E-07
148.11,1.5382E+11,4.61E-07
149.11,1.5367E+11,4.62E-07
150.11,1.5352E+11,4.62E-07
