time,density,radius
0,0,0
1.00E-12,1.62E-22,4.37E-47
1.10E-11,1.80E-20,4.83E-45
1.11E-10,1.92E-18,5.17E-43
1.11E-09,2.99E-16,8.08E-41
1.11E-08,1.37E-13,3.72E-38
1.11E-07,1.20E-10,3.28E-35
1.11E-06,7.90E-08,2.16E-32
1.11E-05,0.000078932,2.15E-29
0.00011111,0.079099,2.16E-26
0.0011111,76.88,2.10E-23
0.011111,29782,2.73E-07
0.11111,3679500,2.73E-07
1.1111,1050600000,2.73E-07
2.1111,5791800000,2.73E-07
3.1111,16821000000,2.73E-07
4.1111,36800000000,2.73E-07
5.1111,68237000000,2.73E-07
6.1111,1.1368E+11,2.72E-07
7.1111,1.76E+11,2.72E-07
8.1111,2.57E+11,2.72E-07
9.1111,3.59E+11,2.73E-07
10.111,4.86E+11,2.73E-07
11.111,6.39E+11,2.73E-07
12.111,8.21E+11,2.73E-07
13.111,1.03E+12,2.73E-07
14.111,1.28E+12,2.7278E-07
15.111,1.56E+12,2.73E-07
16.111,1.89E+12,2.73E-07
17.111,2.25E+12,2.73E-07
18.111,2.65E+12,2.73E-07
19.111,3.10E+12,2.73E-07
20.111,3.60E+12,2.73E-07
21.111,4.14E+12,2.73E-07
22.111,4.74E+12,2.74E-07
23.111,5.39E+12,2.74E-07
24.111,6.09E+12,2.74E-07
25.111,6.85E+12,2.74E-07
26.111,7.66E+12,2.74E-07
27.111,8.53E+12,2.74E-07
28.111,9.46E+12,2.74495E-07
29.111,1.05E+13,2.75E-07
30.111,1.15E+13,2.75E-07
31.111,1.26E+13,2.75E-07
32.111,1.38E+13,2.75E-07
33.111,1.50E+13,2.75E-07
34.111,1.63E+13,2.76E-07
35.111,1.77E+13,2.76E-07
36.111,1.91E+13,2.76E-07
37.111,2.06E+13,2.76E-07
38.111,2.21E+13,2.76E-07
39.111,2.37E+13,2.77E-07
40.111,2.54E+13,2.77E-07
41.111,2.71E+13,2.77E-07
42.111,2.88E+13,2.77E-07
43.111,3.07E+13,2.77E-07
44.111,3.25E+13,2.78E-07
45.111,3.45E+13,2.78E-07
46.111,3.64E+13,2.78E-07
47.111,3.85E+13,2.78E-07
48.111,4.05E+13,2.78E-07
49.111,4.27E+13,2.79E-07
50.111,4.48E+13,2.79E-07
51.111,4.70E+13,2.79E-07
52.111,4.93E+13,2.79E-07
53.111,5.16E+13,2.80E-07
54.111,5.39E+13,2.80E-07
55.111,5.63E+13,2.80E-07
56.111,5.87E+13,2.80E-07
57.111,6.11E+13,2.81E-07
58.111,6.35E+13,2.81E-07
59.111,6.60E+13,2.81E-07
60.111,6.85E+13,2.81E-07
61.111,7.11E+13,2.81E-07
62.111,7.37E+13,2.82E-07
63.111,7.62E+13,2.82E-07
64.111,7.89E+13,2.82E-07
65.111,8.15E+13,2.82E-07
66.111,8.41E+13,2.83E-07
67.111,8.68E+13,2.83E-07
68.111,8.95E+13,2.83E-07
69.111,9.22E+13,2.83E-07
70.111,9.49E+13,2.84E-07
71.111,9.76E+13,2.84E-07
72.111,1.00E+14,2.84E-07
73.111,1.03E+14,2.84E-07
74.111,1.06E+14,2.84E-07
75.111,1.09E+14,2.85E-07
76.111,1.11E+14,2.85E-07
77.111,1.14E+14,2.85E-07
78.111,1.17E+14,2.85E-07
79.111,1.20E+14,2.86E-07
80.111,1.23E+14,2.86E-07
81.111,1.25E+14,2.86E-07
82.111,1.28E+14,2.86E-07
83.111,1.31E+14,2.86E-07
84.111,1.34E+14,2.87E-07
85.111,1.37E+14,2.87E-07
86.111,1.39E+14,2.87E-07
87.111,1.42E+14,2.87E-07
88.111,1.45E+14,2.88E-07
89.111,1.48E+14,2.88E-07
90.111,1.51E+14,2.88E-07
91.111,1.54E+14,2.88E-07
92.111,1.56E+14,2.88E-07
93.111,1.59E+14,2.89E-07
94.111,1.62E+14,2.89E-07
95.111,1.65E+14,2.89E-07
96.111,1.68E+14,2.89E-07
97.111,1.70E+14,2.90E-07
98.111,1.73E+14,2.90E-07
99.111,1.76E+14,2.90E-07
100.11,1.79E+14,2.90E-07
101.11,1.81E+14,2.90E-07
102.11,1.84E+14,2.91E-07
103.11,1.87E+14,2.91E-07
104.11,1.90E+14,2.91E-07
105.11,1.93E+14,2.91E-07
106.11,1.95E+14,2.91E-07
107.11,1.98E+14,2.92E-07
108.11,2.01E+14,2.92E-07
109.11,2.03E+14,2.92E-07
110.11,2.06E+14,2.92E-07
111.11,2.09E+14,2.92E-07
112.11,2.12E+14,2.93E-07
113.11,2.14E+14,2.93E-07
114.11,2.17E+14,2.93E-07
115.11,2.20E+14,2.93E-07
116.11,2.22E+14,2.93E-07
117.11,2.25E+14,2.94E-07
118.11,2.28E+14,2.94E-07
119.11,2.30E+14,2.94E-07
120.11,2.33E+14,2.94E-07
121.11,2.36E+14,2.94E-07
122.11,2.38E+14,2.95E-07
123.11,2.41E+14,2.95E-07
124.11,2.44E+14,2.95E-07
125.11,2.46E+14,2.95E-07
126.11,2.49E+14,2.95E-07
127.11,2.51E+14,2.95E-07
128.11,2.54E+14,2.96E-07
129.11,2.56E+14,2.96E-07
130.11,2.59E+14,2.96E-07
131.11,2.62E+14,2.96E-07
132.11,2.64E+14,2.96E-07
133.11,2.67E+14,2.97E-07
134.11,2.69E+14,2.97E-07
135.11,2.72E+14,2.97E-07
136.11,2.74E+14,2.97E-07
137.11,2.77E+14,2.97E-07
138.11,2.79E+14,2.97E-07
139.11,2.82E+14,2.98E-07
140.11,2.84E+14,2.98E-07
141.11,2.87E+14,2.98E-07
142.11,2.89E+14,2.98E-07
143.11,2.91E+14,2.98E-07
144.11,2.94E+14,2.99E-07
145.11,2.96E+14,2.99E-07
146.11,2.99E+14,2.99E-07
147.11,3.01E+14,2.99E-07
148.11,3.04E+14,2.99E-07
149.11,3.06E+14,2.99E-07
150.11,3.08E+14,3.00E-07
151.11,3.11E+14,3.00E-07
152.11,3.13E+14,3.00E-07
153.11,3.15E+14,3.00E-07
154.11,3.18E+14,3.00E-07
155.11,3.20E+14,3.00E-07
156.11,3.22E+14,3.01E-07
157.11,3.25E+14,3.01E-07
158.11,3.27E+14,3.01E-07
159.11,3.29E+14,3.01E-07
160.11,3.32E+14,3.01E-07
161.11,3.34E+14,3.01E-07
162.11,3.36E+14,3.02E-07
163.11,3.38E+14,3.02E-07
164.11,3.41E+14,3.02E-07
165.11,3.43E+14,3.02E-07
166.11,3.45E+14,3.02E-07
167.11,3.47E+14,3.02E-07
168.11,3.50E+14,3.03E-07
169.11,3.52E+14,3.03E-07
170.11,3.54E+14,3.03E-07
171.11,3.56E+14,3.03E-07
