time,density,radius
0,0,0
1.00E-12,4.4382E-17,1.77255E-07
1.10E-11,5.56E-16,1.77255E-07
1.11E-10,5.9319E-15,1.77255E-07
1.11E-09,9.2705E-14,1.77255E-07
1.11E-08,1.1309E-11,1.77255E-07
1.11E-07,8.2047E-09,1.77255E-07
1.11E-06,7.9419E-06,1.77255E-07
1.11E-05,0.0078885,1.77255E-07
0.00011111,7.6135,1.77255E-07
0.0011111,5426.2,1.77255E-07
0.011111,900420,1.77255E-07
0.11111,69483000,1.77255E-07
1.1111,3788800000,1.77275E-07
2.1111,12549000000,1.77315E-07
3.1111,26269000000,1.7736E-07
4.1111,44852000000,1.7741E-07
5.1111,68122000000,1.7746E-07
6.1111,95835000000,1.77515E-07
7.1111,1.2768E+11,1.7757E-07
8.1111,1.6329E+11,1.77625E-07
9.1111,2.0224E+11,1.77685E-07
10.111,2.4409E+11,1.77745E-07
11.111,2.8834E+11,1.77805E-07
12.111,3.3452E+11,1.7787E-07
13.111,3.821E+11,1.77935E-07
14.111,4.306E+11,0.000000178
15.111,4.7953E+11,1.78065E-07
16.111,5.2842E+11,1.7813E-07
17.111,5.7683E+11,1.782E-07
18.111,6.2436E+11,1.7827E-07
19.111,6.7065E+11,1.7834E-07
20.111,7.1537E+11,1.7841E-07
21.111,7.5823E+11,1.7848E-07
22.111,7.9901E+11,1.78555E-07
23.111,8.3751E+11,1.7863E-07
24.111,8.7358E+11,1.787E-07
25.111,9.0711E+11,1.78775E-07
26.111,9.3802E+11,1.7885E-07
27.111,9.6629E+11,1.78925E-07
28.111,9.9191E+11,0.000000179
29.111,1.0149E+12,1.79075E-07
30.111,1.0353E+12,1.79155E-07
31.111,1.0532E+12,1.7923E-07
32.111,1.0687E+12,1.79305E-07
33.111,1.0819E+12,1.7938E-07
34.111,1.0929E+12,1.7946E-07
35.111,1.1018E+12,1.79535E-07
36.111,1.1087E+12,1.7961E-07
37.111,1.1138E+12,1.7969E-07
38.111,1.1173E+12,1.79765E-07
39.111,1.1191E+12,1.7984E-07
40.111,1.1196E+12,1.79915E-07
41.111,1.1187E+12,1.7999E-07
42.111,1.1166E+12,1.8007E-07
43.111,1.1134E+12,1.80145E-07
44.111,1.1093E+12,1.8022E-07
45.111,1.1042E+12,1.80295E-07
46.111,1.0984E+12,1.8037E-07
47.111,1.0919E+12,1.8044E-07
48.111,1.0848E+12,1.80515E-07
49.111,1.0772E+12,1.8059E-07
50.111,1.0691E+12,1.80665E-07
51.111,1.0606E+12,1.80735E-07
52.111,1.0518E+12,1.8081E-07
53.111,1.0426E+12,1.8088E-07
54.111,1.0333E+12,1.80955E-07
55.111,1.0237E+12,1.81025E-07
56.111,1.0139E+12,1.81095E-07
