GP_p2_stress_yy,GP_p2_stress_yy_std
8856.8869777631,nan
9209.6153142469,nan
9280.7798945828,nan
8411.9397538579,nan
9499.1516075958,40.792875464897
9548.2816726598,nan
8937.0816003005,nan
9222.2140159661,nan
9222.4542486511,nan
9544.3429617086,nan
9548.607677778,nan
9130.8598350006,nan
8820.5841450427,nan
9463.5666935116,nan
8487.8951938671,78.424141631582
9231.5531870379,nan
9389.1722689518,nan
9452.1260338151,nan
9282.2459504871,nan
9445.6586863843,nan
9210.7580724991,nan
9087.7174827624,nan
9203.2737864044,nan
9295.4901389757,nan
9244.985406831,nan
9188.9169818449,nan
9152.9729955102,nan
9268.6210157758,nan
9331.9396296494,nan
9420.5684698398,65.285098924235
9153.8090201344,nan
9508.6336993541,10.032964702925
9716.8774471678,nan
9371.8413836603,nan
9139.790098043,nan
9214.4720100135,nan
9258.7513813031,54.083553562179
9703.0437846187,67.930954331431
9246.5129300979,nan
9228.3772827366,nan
9115.2123688136,nan
9187.5423144211,nan
9423.8987178201,nan
9285.2434094059,nan
9174.0561850179,nan
9255.8979607439,nan
9695.0617564776,25.789699270235
9567.8583276645,63.075658786583
8814.5670929651,45.42458220306
9396.1750552544,nan
9230.8855656774,nan
9460.8938667437,nan
9210.2981269229,nan
9035.4306823135,49.993882986218
9385.7217540632,nan
9132.3662734944,59.131987787762
9418.6315572872,nan
9329.7960026312,nan
9230.3582572546,nan
9115.2184401782,nan
9161.6902716796,nan
9189.1226864309,nan
9537.8496200565,nan
9341.2087541881,nan
9378.1761785711,nan
9642.0405655919,nan
9053.853922863,nan
8986.6950126231,63.047754453109
9607.5087488926,nan
9286.4043463516,nan
9274.4370060203,nan
9088.3591403393,nan
9274.211982759,nan
8970.0550907612,nan
9178.5229929256,nan
9446.9957998669,nan
9125.6443541148,nan
9076.5278210686,nan
9364.1902018204,39.032268244002
9279.5118001652,nan
9249.8035099877,nan
8836.6254831565,nan
9474.6485666087,nan
9199.6649231974,19.160908572481
9228.8166757107,nan
8828.8768650458,63.97667824094
9727.9371860422,nan
9163.1397648587,nan
9196.6981258391,nan
9376.5329670237,nan
9302.8958385735,nan
9307.4012649414,nan
9168.7569167161,nan
9211.0271736413,nan
9242.3706021915,48.306985813324
9479.4912632371,nan
9407.4186368805,nan
9227.3496830769,nan
9486.4020944525,nan
9523.5392656279,62.425963077064
