GP_p9_stress_yy,GP_p9_stress_yy_std
3258.5688887913,nan
2862.1683393548,nan
2973.5705989363,62.189280230209
3140.9677468506,63.269750855672
2637.6594341359,63.248646269523
3015.5563527471,nan
2843.4281030515,nan
3198.403837368,nan
3041.8398695799,nan
2946.1796642337,nan
2460.0338200834,19.880074504528
2992.9556181545,32.044027894301
3219.7386815822,nan
2761.4063404047,66.760804106418
3275.774225304,33.52028126263
2774.418333704,nan
3038.3878037435,nan
2613.2350447012,51.210414500462
2690.3315209961,nan
2816.1753286627,83.611834819365
2962.297377868,46.582184599199
2897.6929207454,nan
2998.7765948432,nan
3086.7058054372,nan
2832.8172045444,nan
3118.8026885507,nan
2879.375461631,nan
2848.1981153806,nan
3311.6594162797,nan
2695.6589134863,35.919058411426
3093.3276729877,0.55756077748079
2827.9893761221,nan
2492.9846239019,16.57068161007
3072.0412313802,nan
3208.2296627602,nan
2968.0626569883,nan
2828.0376820071,84.423568729104
2354.883695008,89.734505017818
3104.7812790381,27.189280159413
2966.4696574414,59.768401018975
2826.2660338816,nan
2820.7165151654,nan
2861.1204987833,73.721885798002
3429.3683459131,nan
3122.517023434,nan
2837.2397112143,68.948300983435
2502.234925955,86.694706884778
2593.8752626082,49.240800190856
3072.4692162876,84.830628152955
2658.3888827834,nan
3133.833127177,nan
2743.0910744313,nan
2888.3860751128,nan
2824.031744929,85.923423383507
2527.5979323194,50.683496761566
2920.3134268365,nan
2884.868027417,nan
3532.0235412223,nan
3097.19316128,81.438976622109
2567.0806776992,nan
2849.3078526207,38.052415779056
2943.2340942918,nan
2746.8734094891,nan
2910.9140184043,nan
2875.8330144821,nan
2630.9134963486,22.604466957794
3134.9753375242,63.675089188255
3155.5332195554,31.916583792056
2485.9076646348,61.285886540893
2916.7998029606,nan
3243.1062023931,nan
3132.8503524308,61.651323168817
3088.1845953882,nan
2809.3801830804,nan
3151.143907398,nan
2690.3789696998,73.615116227637
3119.2115278842,nan
3075.3703572706,nan
2980.9109430123,69.260226521274
2916.7946233527,70.053376217347
2852.8451901439,nan
3237.9105344331,nan
2876.4332673689,nan
3093.9316332635,nan
3128.5669549217,33.35085512102
3260.1125975339,33.309417315729
3182.444037101,nan
2630.3916336931,nan
3070.2936970945,nan
2934.0325276375,nan
3158.9043918586,nan
3138.0883408846,nan
3020.4359211471,nan
2863.1034679032,63.223717303776
2988.0518877053,60.688286594904
2868.2632111534,nan
2689.6994886138,nan
2950.8458066467,nan
3061.6953265185,nan
2607.885543348,65.094213227775
