GP_p6_stress_yy,GP_p6_stress_yy_std
10568.389220103,89.030891203936
10377.906258427,63.980173033149
10193.979939632,73.214778915293
10692.780661311,88.907098194572
10715.792397573,86.920163166098
10322.244265804,56.304110166171
10622.510900941,82.073015947849
10104.296379341,37.890230923213
10209.809877979,59.232616536371
10849.686299976,15.326107374401
10272.537823336,84.197993304588
10218.72401091,55.05764610188
10203.939000571,nan
10543.638614167,86.229439711519
10345.268442953,92.801557344434
10186.199853889,46.27476736408
10906.343753928,82.674733124813
10531.107490427,86.081730525811
10330.054024803,65.038957980355
10341.236424598,74.10890820882
10328.589482727,60.0919532928
10244.416921462,nan
10493.135793692,23.27637384226
10454.508235771,72.46249025505
10468.459745099,72.101012726218
10251.186642009,62.791158482806
10114.147826527,45.782447648915
10203.099695992,69.455713529396
10349.908459303,73.090048885189
10459.4120823,77.629973257232
10155.497820016,73.81021627206
10516.007925411,85.40545076672
10431.118967107,93.638606828043
10335.407990682,24.842161779861
10293.857260477,62.994933298443
10420.877071636,53.641151699608
10397.613296449,89.103963416542
10905.811498293,95.699242074353
10118.240200361,49.761135409078
10243.394546779,72.028240670268
9929.4501312793,nan
10199.577590129,66.008372143551
10448.414410269,64.174979876867
10326.436295715,nan
10271.409599968,nan
10483.152546957,61.118012543137
10342.931208207,89.883422567178
10541.64682647,87.29690069453
10249.228106419,92.688275592588
10241.309874034,nan
10270.986405751,nan
10397.539076765,48.735300509015
10412.284375755,46.767866774542
10356.573153801,95.332501729405
11417.734682828,84.32551709742
10624.481680259,70.916319800536
10393.298005844,60.164946569911
10328.63670217,nan
10235.477345612,84.053528863358
10179.391006308,83.016173327796
10476.970403932,80.55893356632
10327.847005829,85.718301381122
10273.251276538,72.711827220157
10206.596255802,64.816934172203
10429.198655437,nan
11102.474542967,82.867773230309
10225.993433163,86.94456442717
10440.630047541,79.149138667935
10698.656279971,91.705218418753
10248.43973796,67.764499283669
10377.824862833,76.556715015988
10247.276703504,76.454727731161
10414.318305523,73.720952683025
10025.752582157,46.269154003592
10286.183517398,76.602559044524
10324.78864412,89.806319705673
10272.278408794,63.710573892626
10278.479061795,8.3693545825698
10152.480623246,73.727563189428
10556.062014165,92.479074808241
10498.643196444,61.501095963878
10289.195656625,72.716166777558
10318.980349808,80.717273109692
10228.847164381,74.197392165673
10354.535924131,72.186161813659
10316.075782263,78.309190601117
10420.430997295,80.917464475855
10408.894779066,70.949862323671
10299.657503585,86.837246555102
10096.384428546,60.553360649199
10285.134864373,80.333209483455
10468.387015438,nan
10282.708630037,73.710325993624
10337.943323827,80.427600092158
10489.709362623,73.738659753713
10337.994660202,75.745757273854
10252.900011795,nan
10242.422329109,79.871558547419
10361.209324506,72.892994598548
10881.419720704,88.373172852553
