GP_p8_stress_yy,GP_p8_stress_yy_std
9354.6642646892,119.66519786439
9252.3506577779,118.35239653389
9206.3557694309,133.78305155239
9389.3616646494,120.44923966955
8889.0170825424,133.67281260092
9240.8412520686,114.8508291686
9366.3229878068,121.21286474779
9209.8384775379,122.5002468083
9249.2060603465,127.52966783859
9050.0925336411,128.77879169944
8877.4199519662,128.55813581792
9279.2908132857,126.83904272828
9380.5678474005,116.74300040874
9059.9563552424,133.31282372214
9567.166537463,131.24221883131
9273.3745766393,115.13948373782
9395.1036205421,121.87534750774
9181.4133116191,127.65630019513
9250.0805889784,112.07056955242
9142.5302208219,134.06643465669
9254.3166088207,128.10683629422
9327.2219855171,117.47351530587
9285.1727328802,125.01065807009
9266.0186707623,116.67637684914
9260.2731124806,133.70147750315
9331.1116116771,127.50347274307
9216.2389041435,132.19384962649
9309.6638366569,114.63209464075
9256.4889434073,125.36797511135
9195.2437609856,132.40301747781
9284.1748286415,127.08931063021
9046.6648963693,129.31100381374
8901.3571471925,128.34735358619
9256.1810133316,129.20673468971
9287.7484862895,108.22529836605
9224.886170476,128.43893906352
9216.6856307068,130.39270053342
8664.3382109222,134.26122321714
9275.2996611827,129.52634443386
9210.8982137064,132.24811579161
9233.0371639106,120.19443282345
9379.4463351503,110.19509744034
9168.245144142,130.49339037081
9200.3741351404,118.65265247159
9328.2024095101,118.17740160827
9262.5599814621,133.84284611346
8918.4898111216,132.20330743298
8898.4590075721,133.00109584795
9390.6990333541,130.95351995571
9258.4829121429,131.22481829312
9318.5930477185,118.85641703827
9321.812236804,132.41411545885
9334.9626908466,127.77972849337
9246.5296167239,131.1613779854
8839.2950511863,132.25842585907
9338.8514581521,133.18798423733
9168.9252556607,128.66597875958
9241.1817943323,118.97065001292
9274.2236691049,133.50316688596
9167.0408289806,113.85740128179
9284.2203120302,122.42155505157
9230.6925203922,125.978736609
9082.9650329464,126.01670709721
9193.7259188823,130.47783278742
9175.2264644493,111.4296498265
8743.7083209124,131.38550549624
9354.2041025821,128.6013185108
9349.9511488922,124.83176272259
8853.6957025309,132.3368119581
9237.1157352881,117.85299996336
9212.7482181188,117.20684786974
9261.4460150355,131.72733883113
9423.8857967117,113.25864409347
9389.7279170177,111.55369265118
9334.2096794027,116.52697064017
9075.1132075834,129.01490317828
9337.4390817371,117.0719350768
9270.0144646765,123.0698067543
9196.0052651762,133.52753730766
9311.0718623835,131.03302943396
9252.6947792918,133.63002964364
9378.2785157691,126.5214802301
9207.1829477571,119.47991208419
9257.48024486,126.41688361216
9324.7517717571,116.96797623023
9436.3323818626,130.65830461019
9316.1091802429,114.59681236287
9210.8976143922,115.36680172131
9275.2638841947,128.7712881948
9274.6803092022,125.15697467991
9316.4878928595,122.32923286539
9255.0009313476,111.99573694944
9253.0330430559,121.93180406387
9305.6257433507,129.64460165801
9300.5256888035,129.53179331999
9206.4799233943,120.17475016853
9252.6278603034,124.98503650141
9199.9082485083,131.3763808093
9265.0611169212,126.60238447014
8921.4422913382,131.7408226009
