GP_max_stress_yy,GP_max_stress_yy_std
35309.350952751,713.01950795369
30133.834978939,697.23093769938
30724.836843239,699.38520881255
38262.434673764,712.01770259878
38250.19912902,708.82517974727
25982.899302172,693.23141407386
35888.737358782,705.34403538915
25154.371390041,680.27991774076
25417.834165667,693.22509406804
39502.802947443,674.80421442677
38346.980399614,706.30585133356
25466.172161858,693.72915641586
35155.745099299,678.13004011413
35310.357421161,706.73214955724
38536.888067456,713.03216682801
25365.891750234,691.67502934333
38746.553420949,706.74550391363
35786.636279969,710.07816887372
35297.694962217,699.82881664292
35801.624819929,698.54886569654
31286.592752762,687.66689301705
30022.716674889,684.45949372798
35622.297493361,679.16558435467
35790.575100049,700.19952942016
31220.562715205,695.2285327943
30295.081121829,693.86441622301
30806.210778799,686.35731422402
30685.281437706,698.40999587718
25614.357938314,699.21202010195
35815.165974959,704.12151005811
30813.260672328,701.59818582631
35258.413236754,707.11666849867
38705.499673916,714.08451022285
25971.066159719,677.17435809246
25698.779841335,696.76921365429
31181.700392964,693.91368863096
30266.25995069,711.59235143349
38539.045709874,714.53074769968
30610.884269619,689.43971325085
30886.993952723,698.17163035605
24687.833488318,668.60701201939
30624.183522151,698.71089815368
30321.352405885,692.34521768229
25927.607191819,680.14388505264
30213.334909954,672.94203260228
31307.059389215,688.9237959471
38016.520324659,711.21775884843
38788.157044674,709.50342640681
38336.197231005,713.66694053389
25979.377001157,671.25835255921
30220.610462366,672.15215618578
25391.059332144,684.75782243317
35893.470551818,685.88314067768
39101.375134622,714.66398486573
40565.328680188,703.09057387624
35747.070290301,698.13021525713
30195.120902939,695.42760470164
25647.614208414,673.02002916292
25431.523712272,707.09217322483
35417.352092484,709.30412403278
30648.434883488,706.69544441265
30742.448815093,708.45440767979
35029.368995946,699.02362889188
30891.520329732,695.29402056736
30148.537608141,677.27128594659
39298.051268324,702.72192810648
35348.783903662,710.7138924317
35257.481893723,708.20896829815
38187.81061636,711.48936146661
31187.536380894,700.33263716475
30208.105147967,704.30885141041
30655.578561213,700.6379393711
30213.930767246,705.60484102037
24959.133353757,690.80987865482
30198.958920402,700.64014139709
35381.426861179,711.81883525071
30194.057446703,692.5771560642
30759.287125111,676.76038328639
30731.273280189,700.64914214663
35805.909669096,713.30582343021
31332.704441047,689.45410877873
35181.641170395,700.97385350864
30259.076973658,707.55657959009
25606.087281303,701.43813764041
30200.971697139,702.28856133572
38108.718253632,703.90204517509
35188.211798803,708.83870289845
35820.646200968,702.33121582456
30806.486970536,707.86661527625
25613.447904737,693.73415549968
30171.209949366,702.35180262948
35676.795835873,670.09881068135
30754.262803545,702.34842417581
35939.984180277,701.4790782603
31297.194652866,701.38550268208
30245.018068909,704.76526680285
25727.343371884,679.89179906849
30850.544802053,703.47930250791
35410.489624378,700.05672778493
38720.1547198,709.45610507554
