time,density,radius
0,0,0
1.00E-12,1.88E-18,5.07E-43
1.10E-11,3.23E-16,8.74E-41
1.11E-10,1.50E-13,4.08E-38
1.11E-09,1.32E-10,3.61E-35
1.11E-08,8.6795E-08,2.37E-32
1.11E-07,0.000086701,2.37E-29
1.11E-06,0.087048,2.37E-26
1.11E-05,88.62,2.41E-23
0.00011111,74218,2.72E-07
0.0011111,13689000,2.72E-07
0.011111,2095400000,2.72E-07
0.098513,5.60E+11,2.72E-07
0.61168,5.64E+13,2.82E-07
1.6117,2.25E+14,3.04E-07
2.6117,3.41E+14,3.19E-07
3.6117,4.20E+14,3.30E-07
4.6117,4.7568E+14,3.39E-07
5.6117,5.1541E+14,3.47E-07
6.6117,5.4456E+14,3.53E-07
7.6117,5.6634E+14,3.60E-07
8.6117,5.8287E+14,3.65E-07
9.6117,5.9555E+14,3.70E-07
10.612,6.0538E+14,3.75E-07
11.612,6.1305E+14,3.80E-07
12.612,6.1906E+14,3.84E-07
13.612,6.2378E+14,3.88E-07
14.612,6.2748E+14,3.91E-07
15.612,6.3039E+14,3.95E-07
16.612,6.3266E+14,3.98E-07
17.612,6.3442E+14,4.01E-07
18.612,6.3577E+14,4.04E-07
19.612,6.3678E+14,4.07E-07
20.612,6.3752E+14,4.10E-07
21.612,6.3804E+14,4.12E-07
22.612,6.3837E+14,4.15E-07
23.612,6.3856E+14,4.17E-07
24.612,6.3863E+14,4.19E-07
25.612,6.3859E+14,4.21E-07
26.612,6.3848E+14,4.23E-07
27.612,6.383E+14,4.25E-07
28.612,6.3807E+14,4.27E-07
29.612,6.3779E+14,4.29E-07
30.612,6.3748E+14,4.31E-07
31.612,6.3714E+14,4.32E-07
32.612,6.3678E+14,4.34E-07
33.612,6.364E+14,4.35E-07
34.612,6.3601E+14,4.37E-07
35.612,6.3562E+14,4.38E-07
36.612,6.3521E+14,4.40E-07
37.612,6.3481E+14,4.41E-07
38.612,6.344E+14,4.42E-07
39.612,6.3399E+14,4.44E-07
40.612,6.3358E+14,4.45E-07
41.612,6.3318E+14,4.46E-07
42.612,6.3278E+14,4.47E-07
43.612,6.3239E+14,4.48E-07
44.612,6.32E+14,4.49E-07
45.612,6.3162E+14,4.50E-07
46.612,6.3124E+14,4.51E-07
47.612,6.3087E+14,4.52E-07
48.612,6.305E+14,4.53E-07
49.612,6.3015E+14,4.54E-07
50.612,6.298E+14,4.55E-07
51.612,6.2945E+14,4.56E-07
52.612,6.2912E+14,4.57E-07
53.612,6.2879E+14,4.58E-07
54.612,6.2847E+14,4.58E-07
55.612,6.2815E+14,4.59E-07
56.612,6.2784E+14,4.60E-07
57.612,6.2754E+14,4.61E-07
58.612,6.2725E+14,4.61E-07
59.612,6.2696E+14,4.62E-07
60.612,6.2668E+14,4.63E-07
61.612,6.2641E+14,4.63E-07
62.612,6.2614E+14,4.64E-07
63.612,6.2587E+14,4.65E-07
64.612,6.2562E+14,4.65E-07
65.612,6.2537E+14,4.66E-07
66.612,6.2512E+14,4.66E-07
67.612,6.2488E+14,4.67E-07
68.612,6.2465E+14,4.68E-07
69.612,6.2442E+14,4.68E-07
70.612,6.242E+14,4.69E-07
71.612,6.2398E+14,4.69E-07
72.612,6.2376E+14,4.70E-07
73.612,6.2355E+14,4.70E-07
74.612,6.2335E+14,4.71E-07
75.612,6.2315E+14,4.71E-07
76.612,6.2295E+14,4.72E-07
77.612,6.2276E+14,4.72E-07
78.612,6.2257E+14,4.72E-07
79.612,6.2239E+14,4.73E-07
80.612,6.2221E+14,4.73E-07
81.612,6.2203E+14,4.74E-07
82.612,6.2186E+14,4.74E-07
83.612,6.2169E+14,4.75E-07
84.612,6.2153E+14,4.75E-07
85.612,6.2137E+14,4.75E-07
86.612,6.2121E+14,4.76E-07
87.612,6.2105E+14,4.76E-07
88.612,6.209E+14,4.76E-07
89.612,6.2075E+14,4.77E-07
90.612,6.2061E+14,4.77E-07
91.612,6.2046E+14,4.77E-07
92.612,6.2032E+14,4.78E-07
93.612,6.2019E+14,4.78E-07
94.612,6.2005E+14,4.78E-07
95.612,6.1992E+14,4.79E-07
96.612,6.1979E+14,4.79E-07
97.612,6.1966E+14,4.79E-07
98.612,6.1954E+14,4.80E-07
99.612,6.1941E+14,4.80E-07
100.61,6.1929E+14,4.80E-07
101.61,6.1917E+14,4.81E-07
102.61,6.1906E+14,4.81E-07
103.61,6.1894E+14,4.81E-07
104.61,6.1883E+14,4.81E-07
105.61,6.1872E+14,4.82E-07
106.61,6.1861E+14,4.82E-07
107.61,6.1851E+14,4.82E-07
108.61,6.184E+14,4.82E-07
109.61,6.183E+14,4.83E-07
110.61,6.182E+14,4.83E-07
111.61,6.181E+14,4.83E-07
112.61,6.18E+14,4.83E-07
113.61,6.1791E+14,4.84E-07
114.61,6.1781E+14,4.84E-07
115.61,6.1772E+14,4.84E-07
116.61,6.1763E+14,4.84E-07
117.61,6.1754E+14,4.84E-07
118.61,6.1745E+14,4.85E-07
119.61,6.1737E+14,4.85E-07
120.61,6.1728E+14,4.85E-07
121.61,6.172E+14,4.85E-07
122.61,6.1711E+14,4.85E-07
123.61,6.1703E+14,4.86E-07
124.61,6.1695E+14,4.86E-07
125.61,6.1687E+14,4.86E-07
126.61,6.1679E+14,4.86E-07
127.61,6.1672E+14,4.86E-07
128.61,6.1664E+14,4.87E-07
129.61,6.1657E+14,4.87E-07
130.61,6.165E+14,4.87E-07
131.61,6.1642E+14,4.87E-07
132.61,6.1635E+14,4.87E-07
133.61,6.1628E+14,4.87E-07
134.61,6.1621E+14,4.88E-07
135.61,6.1614E+14,4.88E-07
136.61,6.1608E+14,4.88E-07
137.61,6.1601E+14,4.88E-07
138.61,6.1595E+14,4.88E-07
139.61,6.1588E+14,4.88E-07
140.61,6.1582E+14,4.89E-07
141.61,6.1576E+14,4.89E-07
142.61,6.1569E+14,4.89E-07
143.61,6.1563E+14,4.89E-07
144.61,6.1557E+14,4.89E-07
145.61,6.1551E+14,4.89E-07
146.61,6.1545E+14,4.89E-07
147.61,6.154E+14,4.90E-07
148.61,6.1534E+14,4.90E-07
149.61,6.1528E+14,4.90E-07
150.61,6.1523E+14,4.90E-07
151.61,6.1517E+14,4.90E-07
152.61,6.1512E+14,4.90E-07
153.61,6.1507E+14,4.90E-07
154.61,6.1501E+14,4.90E-07
155.61,6.1496E+14,4.91E-07
