time,density,radius
0,0,0
1.00E-12,1.91E-14,1.77E-07
1.10E-11,3.29E-13,1.77E-07
1.11E-10,4.06E-11,1.77E-07
1.11E-09,2.95E-08,1.77E-07
1.11E-08,0.000028494,1.77E-07
1.11E-07,0.027849,1.77E-07
1.11E-06,23.226,1.77255E-07
1.11E-05,8241.3,1.77255E-07
0.00011111,940930,1.77255E-07
0.0011111,77873000,1.7726E-07
0.011111,4033700000,1.77275E-07
0.11111,1.94E+11,1.7738E-07
1.1111,90415000000,1.77355E-07
2.1111,39007000000,1.77335E-07
3.1111,22602000000,1.77335E-07
4.1111,15006000000,1.77345E-07
5.1111,10832000000,1.77355E-07
6.1111,8268200000,1.7737E-07
7.1111,6567500000,1.77385E-07
8.1111,5374200000,1.774E-07
9.1111,4500400000,1.7742E-07
10.111,3838600000,1.7744E-07
11.111,3323500000,1.7746E-07
12.111,2913500000,1.7748E-07
13.111,2581100000,1.775E-07
14.111,2307200000,1.7752E-07
15.111,2078500000,1.77545E-07
16.111,1885100000,1.7757E-07
17.111,1719900000,1.7759E-07
18.111,1577500000,1.77615E-07
19.111,1453700000,1.7764E-07
20.111,1345300000,1.77665E-07
21.111,1249800000,1.7769E-07
22.111,1165100000,1.7771E-07
23.111,1089600000,1.77735E-07
24.111,1022000000,1.77765E-07
25.111,961070000,1.7779E-07
26.111,906020000,1.77815E-07
27.111,856070000,1.7784E-07
28.111,810580000,1.77865E-07
29.111,769010000,1.7789E-07
30.111,730900000,1.7792E-07
31.111,695880000,1.77945E-07
32.111,663590000,1.7797E-07
33.111,633750000,0.000000178
34.111,606100000,1.78025E-07
35.111,580440000,1.7805E-07
36.111,556560000,1.7808E-07
37.111,534290000,1.78105E-07
38.111,513500000,1.78135E-07
39.111,494030000,1.7816E-07
40.111,475790000,1.78185E-07
41.111,458660000,1.78215E-07
42.111,442550000,1.7824E-07
43.111,427380000,1.7827E-07
44.111,413080000,1.78295E-07
45.111,399570000,1.78325E-07
46.111,386790000,1.7835E-07
47.111,374700000,1.7838E-07
48.111,363240000,1.78405E-07
49.111,352360000,1.78435E-07
50.111,342030000,1.7846E-07
51.111,332200000,1.7849E-07
52.111,322850000,1.78515E-07
53.111,313940000,1.78545E-07
54.111,305440000,1.7857E-07
55.111,297330000,1.786E-07
