time,density,radius
0,0,0
1.00E-12,6.16E-18,1.66E-42
1.10E-11,1.06E-15,2.86E-40
1.11E-10,4.90E-13,1.33E-37
1.11E-09,2.87E-10,7.83E-35
1.11E-08,2.84E-07,7.75E-32
1.11E-07,0.0002841,7.75E-29
1.11E-06,0.28769,7.84E-26
1.11E-05,295.7,2.72E-07
0.00011111,224180,2.72E-07
0.0011111,35353000,2.72E-07
0.011111,5643900000,2.71E-07
0.10115,1.47E+12,2.72E-07
0.66775,5.12E+13,2.97E-07
1.6678,1.09E+14,3.27E-07
2.6678,1.34E+14,3.47E-07
3.6678,1.46E+14,3.63E-07
4.6678,1.51E+14,3.76E-07
5.6678,1.53E+14,3.88E-07
6.6678,1.54E+14,3.98E-07
7.6678,1.54E+14,4.07E-07
8.6678,1.54E+14,4.16E-07
9.6678,1.54E+14,4.23E-07
10.668,1.53E+14,0.000000429
11.668,1.53E+14,4.35E-07
12.668,1.52E+14,4.40E-07
13.668,1.52E+14,4.44E-07
14.668,1.52E+14,4.48E-07
15.668,1.51E+14,4.52E-07
16.668,1.51E+14,4.55E-07
17.668,1.51E+14,4.58E-07
18.668,1.51E+14,0.000000461
19.668,1.51E+14,4.64E-07
20.668,1.50E+14,4.66E-07
21.668,1.50E+14,4.68E-07
22.668,1.50E+14,4.70E-07
23.668,1.50E+14,4.72E-07
24.668,1.50E+14,4.73E-07
25.668,1.50E+14,4.75E-07
26.668,1.50E+14,4.76E-07
27.668,1.50E+14,4.78E-07
28.668,1.49E+14,4.79E-07
29.668,1.49E+14,4.80E-07
30.668,1.49E+14,4.81E-07
31.668,1.49E+14,4.82E-07
32.668,1.49E+14,4.83E-07
33.668,1.49E+14,4.84E-07
34.668,1.49E+14,4.85E-07
35.668,1.49E+14,4.86E-07
36.668,1.49E+14,4.87E-07
37.668,1.49E+14,4.87E-07
38.668,1.49E+14,4.88E-07
39.668,1.49E+14,4.89E-07
40.668,1.49E+14,4.89E-07
41.668,1.49E+14,4.90E-07
42.668,1.48E+14,4.90E-07
43.668,1.48E+14,4.91E-07
44.668,1.48E+14,4.92E-07
45.668,1.48E+14,4.92E-07
46.668,1.48E+14,4.93E-07
47.668,1.48E+14,4.93E-07
48.668,1.48E+14,4.93E-07
49.668,1.48E+14,4.94E-07
50.668,1.48E+14,4.94E-07
51.668,1.48E+14,4.95E-07
52.668,1.48E+14,4.95E-07
53.668,1.48E+14,4.95E-07
54.668,1.48E+14,4.96E-07
55.668,1.48E+14,4.96E-07
56.668,1.48E+14,4.96E-07
57.668,1.48E+14,4.97E-07
58.668,1.48E+14,4.97E-07
59.668,1.48E+14,4.97E-07
60.668,1.48E+14,4.97E-07
61.668,1.48E+14,4.98E-07
62.668,1.48E+14,4.98E-07
63.668,1.48E+14,4.98E-07
64.668,1.48E+14,4.98E-07
65.668,1.47E+14,4.99E-07
66.668,1.47E+14,4.99E-07
67.668,1.47E+14,4.99E-07
68.668,1.47E+14,4.99E-07
69.668,1.47E+14,4.99E-07
70.668,1.47E+14,5.00E-07
71.668,1.47E+14,5.00E-07
72.668,1.47E+14,5.00E-07
73.668,1.47E+14,5.00E-07
74.668,1.47E+14,5.00E-07
75.668,1.47E+14,5.00E-07
76.668,1.47E+14,5.01E-07
77.668,1.47E+14,5.01E-07
78.668,1.47E+14,5.01E-07
79.668,1.47E+14,5.01E-07
80.668,1.47E+14,5.01E-07
81.668,1.47E+14,5.01E-07
82.668,1.47E+14,5.01E-07
83.668,1.47E+14,5.01E-07
84.668,1.47E+14,5.02E-07
85.668,1.47E+14,5.02E-07
86.668,1.47E+14,5.02E-07
87.668,1.47E+14,5.02E-07
88.668,1.47E+14,5.02E-07
